ate_num_t,ate_num
ATM791852,0NIC53041
ATM556746,0NIC00146
ATM257021,0NICA1601
ATM932441,0NICA4303
ATM290276,0NIC99112
ATM531629,0NICAZ901
ATM160602,0NICAJ001
ATM773182,0NIC53084
ATM336597,0NICAR601
ATM420136,0NIC53056
ATM826087,0NIC53020
ATM415771,0NICA1901
ATM453215,0NICAP201
ATM714229,0NIC53069
ATM320745,0NICA0705
ATM717662,0NICAS001
ATM611542,0NICAU901
ATM586758,0NICAY103
ATM211154,0NICAZ801
ATM700966,0NIC00144
ATM393770,0NIC99097
ATM248643,0NICAT101
ATM208439,0NICAE201
ATM917189,0NICAG303
ATM339238,0NICAF201
ATM534490,0NIC53026
ATM333968,0NICAA003
ATM650231,0NICAH003
ATM725481,0NIC00124
ATM611377,0NICA3401
ATM613668,0NICAP801
ATM418944,0NICAF601
ATM147746,0NICA5701
ATM553044,0NICAX701
ATM739577,0NIC53043
ATM920103,0NIC00137
ATM611445,0NICA6804
ATM561070,0NICA3805
ATM937222,0NICAL404
ATM400652,0NICAR303
ATM513997,0NICAF101
ATM268351,0NICAA801
ATM369721,0NICA8503
ATM953769,0NIC53078
ATM965550,0NIC99095
ATM847308,0NIC99117
ATM792692,0NICA5801
ATM315885,0NICA5601
ATM269111,0NICAO301
ATM675817,0NICAA501
ATM696875,0NIC99102
ATM998849,0NICA2701
ATM437313,0NICAU404
ATM847157,0NICA6103
ATM655656,0NICA6901
ATM910386,0NICA2604
ATM953782,0NICAU101
ATM888226,0NICAW701
ATM113797,0NICA2606
ATM398534,0NICAA203
ATM475107,0NICA4401
ATM384109,0NICAF703
ATM972219,0NICA2001
ATM371350,0NICAC103
ATM615381,0NICAG605
ATM218563,0NIC00123
ATM746841,0NICA0204
ATM422097,0NICA1701
ATM257868,0NICAG503
ATM117481,0NICAN501
ATM550899,0NICAJ801
ATM342068,0NIC53005
ATM271102,0NICAO201
ATM682236,0NIC53038
ATM714338,0NIC99116
ATM820544,0NICAU301
ATM917374,0NICA6801
ATM915747,0NICA3701
ATM425086,0NIC00142
ATM174101,0NIC53006
ATM204697,0NICAP403
ATM735089,0NICA4001
ATM653599,0NICAB101
ATM167631,0NIC53090
ATM867015,0NICA3301
ATM585311,0NICA2206
ATM430195,0NICA2308
ATM432662,0NICA3105
ATM268692,0NIC99099
ATM175602,0NICAO703
ATM240936,0NICAR701
ATM661698,0NICA6301
ATM841497,0NIC53025
ATM224721,0NICA3405
ATM141713,0NICA7101
ATM901548,0NICA1001
ATM206083,0NICAI901
ATM918533,0NICA0214
ATM798460,0NIC53071
ATM725094,0NICAE801
ATM339761,0NIC53064
ATM604082,0NICA8701
ATM949021,0NICAG404
ATM466813,0NICA2203
ATM123628,0NICAG806
ATM257701,0NIC53023
ATM746699,0NICA3101
ATM620056,0NICAC101
ATM897986,0NIC53058
ATM310926,0NIC53009
ATM300100,0NIC53012
ATM474946,0NICA9301
ATM747233,0NICA1007
ATM682670,0NICA8001
ATM877344,0NICAN001
ATM789928,0NICA0703
ATM497923,0NICAH005
ATM960837,0NICAL401
ATM559163,0NICAR801
ATM635468,0NIC00121
ATM566178,0NICAG601
ATM314884,0NICAQ003
ATM498604,0NICA5904
ATM360760,0NICA2601
ATM991186,0NICAI908
ATM404914,0NICA4101
ATM875540,0NICA1503
ATM905322,0NICAG401
ATM987471,0NICAX801
ATM933665,0NIC00120
ATM808112,0NICAI201
ATM130896,0NIC53001
ATM901457,0NIC00143
ATM889805,0NICAW001
ATM868408,0NICAV201
ATM305397,0NICAI001
ATM754755,0NICAX301
ATM177431,0NICAR803
ATM539495,0NICA2205
ATM408739,0NICA2607
ATM723657,0NICA4601
ATM891236,0NICA1501
ATM595607,0NICA2003
ATM927089,0NICA0103
ATM371739,0NICAD201
ATM112711,0NICA0803
ATM994001,0NIC99113
ATM108684,0NICA2603
ATM657068,0NICAS501
ATM300193,0NICAQ001
ATM745534,0NIC53083
ATM942883,0NICAU701
ATM103513,0NICAP401
ATM517065,0NIC99101
ATM532671,0NICA3905
ATM429418,0NICAW301
ATM539053,0NICAO801
ATM979655,0NICA2801
ATM525544,0NICA1404
ATM889302,0NICAR501
ATM283846,0NICAG501
ATM572953,0NICA4003
ATM526115,0NICAZ001
ATM144492,0NICA2004
ATM891057,0NICAG001
ATM692934,0NICAS201
ATM184562,0NICA3203
ATM156309,0NICAD001
