mro_code,mro_acc_code,mro_mer_code,mro_sys_code,mro_tran_code,mro_tran_curr_code,updated_at
1956,2422687,2435601,,,150,2024-08-07 07:05:08.091
1957,2422688,2435621,,,150,2024-08-07 07:05:08.091
1958,2422689,2435641,,,150,2024-08-07 07:05:08.091
1959,2422690,2435661,,,150,2024-08-07 07:05:08.091
1960,2422691,2435681,,,150,2024-08-07 07:05:08.091
1961,2422692,2435701,,,150,2024-08-07 07:05:08.091
1962,2422693,2435721,,,150,2024-08-07 07:05:08.091
1963,2422694,2435741,,,150,2024-08-07 07:05:08.091
1964,2422695,2435761,,,150,2024-08-07 07:05:08.091
1965,2422696,2435781,,,150,2024-08-07 07:05:08.091
1966,2422697,2435801,,,150,2024-08-07 07:05:08.091
1967,2422698,2435821,,,150,2024-08-07 07:05:08.091
1968,2422699,2435841,,,150,2024-08-07 07:05:08.091
1969,2422700,2435861,,,150,2024-08-07 07:05:08.091
1970,2422701,2435881,,,150,2024-08-07 07:05:08.091
1971,2422702,2435901,,,150,2024-08-07 07:05:08.091
1972,2422703,2435921,,,150,2024-08-07 07:05:08.091
1973,2422704,2435941,,,150,2024-08-07 07:05:08.091
1974,2422705,2435961,,,150,2024-08-07 07:05:08.091
1975,2422706,2435981,,,150,2024-08-07 07:05:08.091
1976,2422707,2436001,,,150,2024-08-07 07:05:08.091
1977,2422708,2436021,,,150,2024-08-07 07:05:08.091
1978,2422709,2436041,,,150,2024-08-07 07:05:08.091
1979,2422710,2436061,,,150,2024-08-07 07:05:08.091
1980,2422711,2436081,,,150,2024-08-07 07:05:08.091
1981,2422712,2436101,,,150,2024-08-07 07:05:08.091
1982,2422713,2436121,,,150,2024-08-07 07:05:08.091
1983,2422714,2436141,,,150,2024-08-07 07:05:08.091
1984,2422715,2436161,,,150,2024-08-07 07:05:08.091
1985,2422716,2436181,,,150,2024-08-07 07:05:08.091
1986,2422717,2436201,,,150,2024-08-07 07:05:08.091
1987,2422718,2436221,,,150,2024-08-07 07:05:08.091
1988,2422719,2436241,,,150,2024-08-07 07:05:08.091
1989,2422720,2436261,,,150,2024-08-07 07:05:08.091
1990,2422721,2436281,,,150,2024-08-07 07:05:08.091
1991,2422722,2436301,,,150,2024-08-07 07:05:08.091
1992,2422723,2436321,,,150,2024-08-07 07:05:08.091
1993,2422724,2436341,,,150,2024-08-07 07:05:08.091
1994,2422725,2436361,,,150,2024-08-07 07:05:08.091
1995,2422726,2436381,,,150,2024-08-07 07:05:08.091
1996,2422727,2436401,,,150,2024-08-07 07:05:08.091
1997,2422728,2436421,,,150,2024-08-07 07:05:08.091
1998,2422729,2436441,,,150,2024-08-07 07:05:08.091
1999,2422730,2436461,,,150,2024-08-07 07:05:08.091
2000,2422731,2436481,,,150,2024-08-07 07:05:08.091
