Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
PDSC1550, SUPER UTTAM BAIDESHIK ROJGAR  BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1254, PREMIUM SUPER CHAMAT BABUNANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1664, PREMIUM SUPER UTTAM BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC996, PREMIUM SUPER UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC271, PREMIUM SUPER UTTAM BACHAT KHATA GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1038, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC473, PREMIUM SUPER UTTAM SWAROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1582, PREMIUM SUPER UTTAM TALAB BACHAT KHATA NORMAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1778, PREMIUM SUPER UTTAM BACHAT KHATA- DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC777, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1672, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1305, PREMIUM SUPER UTTAM NARI BACHAT KHATA DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1374, PREMIUM SUPER UTTAM NARI BACHAT KHATA GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC210, SUPER UTTAM NARI BACHAT KHATA-SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1450, SUPER UTTAM BACHAT KHATA-SILVER BIRATEXPO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC55,DIAMOND GBP SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC660,DIAMOND AUD SAVINGS  ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1515,UTKRISTA JESTHA NAGARIK BACHAT KHATA-PARTNER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC62,UTKRISTA JESTHA NAGARIK BAC KHA-AMBASS ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC73,SECURITY DEPOSIT LOCKER KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC123,SOCIAL SEC. ACCT-FORWARD FEED,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1143, PREMIUM SUPER UTTAM TALAB BACHAT KHATA PRIME ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC358,SAVING QR ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC90, PREMIUM SUPER UTTAM SAHAJ BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1158,EURO SAVINGS ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1092,UTKRISTA BACHAT KHATA- PRIDE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC803,UTKRISTA BACHAT KHATA - PRIDE - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1217,UTKRISTA NARI BACHAT KHATA-AMBASSADOR,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1036,UTKRISTA NARI BACHAT KHATA-PRIDE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC428,SAVING QR ACCOUNT-WITHOUT PAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1249,UTKRISTA BACHAT KHATA PARTNER - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1116,UTKRISTA NARI BACHAT KHATA-PARTNER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1785,UTKRISTA NARI BACHAT KHATA-PRIDE ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC515,UTKRISTA NARI BACHAT KHATA-PARTNER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC79,DIAMOND USD SAVINGS  ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1668,UTKRISTA BACHAT KHATA- AMBASSADOR,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1263,UTKRISTA BACHAT KHATA - PARTNER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1378,DIAMOND EURO SAVINGS ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC888,GBP SAVING DEPOSIT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1730,AUD SAVINGS  ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC697,UTKRISTA BACHAT KHATA - AMBASSADOR - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC713,UTKRISTA NARI BACHAT KHATA-AMBASSADOR ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC373,UTKRISTA JESTHA NAGARIK BACHAT KHA-AMBASSADOR,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1363,UTKRISTA JESTHA NAGARIK BACHAT KHATA-PRIDE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1244,KMC AMBASSADOR ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC918,UTKRISTA TALAB BACHAT KHATA - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
