Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
SD129, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD133, SUPER UTTAM BAIDESHIK ROJGAR  BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD135, PREMIUM SUPER CHAMAT BABUNANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD138, PREMIUM SUPER UTTAM BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD139, PREMIUM SUPER UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD137, PREMIUM SUPER UTTAM BACHAT KHATA GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD143, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD147, PREMIUM SUPER UTTAM SWAROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD150, PREMIUM SUPER UTTAM TALAB BACHAT KHATA NORMAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD152, PREMIUM SUPER UTTAM BACHAT KHATA- DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD156, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD157, PREMIUM SUPER UTTAM JESTHA NAGARIK BACHAT KHATA SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD158, PREMIUM SUPER UTTAM NARI BACHAT KHATA DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD159, PREMIUM SUPER UTTAM NARI BACHAT KHATA GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD132, SUPER UTTAM NARI BACHAT KHATA-SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD134, SUPER UTTAM BACHAT KHATA-SILVER BIRATEXPO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD170,DIAMOND GBP SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD171,DIAMOND AUD SAVINGS  ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD189,UTKRISTA JESTHA NAGARIK BACHAT KHATA-PARTNER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD190,UTKRISTA JESTHA NAGARIK BAC KHA-AMBASS ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD162,SECURITY DEPOSIT LOCKER KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD165,SOCIAL SEC. ACCT-FORWARD FEED,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD166, PREMIUM SUPER UTTAM TALAB BACHAT KHATA PRIME ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD163,SAVING QR ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD167, PREMIUM SUPER UTTAM SAHAJ BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD172,EURO SAVINGS ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD176,UTKRISTA BACHAT KHATA- PRIDE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD179,UTKRISTA BACHAT KHATA - PRIDE - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD181,UTKRISTA NARI BACHAT KHATA-AMBASSADOR,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD182,UTKRISTA NARI BACHAT KHATA-PRIDE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD164,SAVING QR ACCOUNT-WITHOUT PAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD180,UTKRISTA BACHAT KHATA PARTNER - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD183,UTKRISTA NARI BACHAT KHATA-PARTNER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD185,UTKRISTA NARI BACHAT KHATA-PRIDE ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD186,UTKRISTA NARI BACHAT KHATA-PARTNER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD168,DIAMOND USD SAVINGS  ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD175,UTKRISTA BACHAT KHATA- AMBASSADOR,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD177,UTKRISTA BACHAT KHATA - PARTNER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD169,DIAMOND EURO SAVINGS ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD173,GBP SAVING DEPOSIT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD174,AUD SAVINGS  ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD178,UTKRISTA BACHAT KHATA - AMBASSADOR - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD184,UTKRISTA NARI BACHAT KHATA-AMBASSADOR ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD187,UTKRISTA JESTHA NAGARIK BACHAT KHA-AMBASSADOR,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD188,UTKRISTA JESTHA NAGARIK BACHAT KHATA-PRIDE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD207,KMC AMBASSADOR ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD209,UTKRISTA TALAB BACHAT KHATA - ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD192,UTKRISTA JESTHA NAGARIK B KHA-PARTNER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD193,UTKRISTA TALAB BACHAT KHA-AMBASSADOR,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD194,UTKRISTA TALAB BACHAT KHATA-PRIDE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD198,UTKRISTA BABU NANI BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD199,UTKRISTA BAIDESIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD202,UTKRISTA SAHAJ BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD203,UTKRISTA BIDHYARTHI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD206,UTKRISTA TALAB BACHAT KHATA-SME STAFF MORE THAN 5,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD208,UTKRISTA TALAB BACHAT KHATA - PARTNER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
