mac_tcc,mac_code,mac_iden,mac_labe,updated_at
A,1009980,3432,RESERVE RENT-A-CAR            ,2024-08-07 07:05:07.198
A,1010000,3433,UGLY DUCKLING RENT-A          ,2024-08-07 07:05:07.198
A,1010020,3434,USA RENT-A-CAR                ,2024-08-07 07:05:07.198
A,1010040,3435,VALUE RENT-A-CAR              ,2024-08-07 07:05:07.198
A,1010060,3436,AUTOHANSA RENT-A-CAR          ,2024-08-07 07:05:07.198
A,1010080,3437,CITE RENT-A-CAR               ,2024-08-07 07:05:07.198
A,1010100,3438,INTERENT RENT-A-CAR           ,2024-08-07 07:05:07.198
A,1010120,3439,MILEVILLE RENT-A-CAR          ,2024-08-07 07:05:07.198
H,1010140,3502,BEST WESTERN INT`L            ,2024-08-07 07:05:07.198
H,1010160,3504,HILTON HOTELS                 ,2024-08-07 07:05:07.198
H,1010180,3506,GOLDEN TULIP                  ,2024-08-07 07:05:07.198
H,1010200,3507,FRIENDSHIP INNS INT`          ,2024-08-07 07:05:07.198
H,1010220,3508,QUALITY INT`L                 ,2024-08-07 07:05:07.198
H,1010240,3510,DAYS INNS COL RES             ,2024-08-07 07:05:07.198
H,1010260,3511,ARABELLA HOTELS               ,2024-08-07 07:05:07.198
H,1010280,3512,INTERCONTINENTAL              ,2024-08-07 07:05:07.198
H,1010300,3513,WESTIN                        ,2024-08-07 07:05:07.198
H,1010320,3515,RODEWAY INNS INT`L            ,2024-08-07 07:05:07.198
H,1010340,3516,LA QUINTA MOTOR INNS          ,2024-08-07 07:05:07.198
H,1010360,3517,AMERICANA HTLS CORP.          ,2024-08-07 07:05:07.198
H,1010380,3518,SOL HOTELS                    ,2024-08-07 07:05:07.198
H,1010400,3519,PULLMAN INTER.HOTELS          ,2024-08-07 07:05:07.198
H,1010420,3522,TOKYO GROUP                   ,2024-08-07 07:05:07.198
H,1010440,3523,PENINSULA HOTELS              ,2024-08-07 07:05:07.198
H,1010460,3524,WELCOM GROUP HOTELS           ,2024-08-07 07:05:07.198
H,1010480,3525,DUNFEY HOTELS                 ,2024-08-07 07:05:07.198
H,1010500,3526,PRINCE HOTELS                 ,2024-08-07 07:05:07.198
