bra_code,bra_iden,bra_init,bra_province,bra_bank_code,bra_corp_name,bra_sequ_numb,bra_sub_province,updated_at
5156,K8,1007208,Province 2,1,BARATHAWA,100,Hariwon,2024-08-07 07:03:06.983
5157,83,1007083,Province 5,1,BARDAGHAT,100,Sunwal,2024-08-07 07:03:06.983
5158,C1,1007121,Province 2,1,BARDIBAS,100,Bardibas,2024-08-07 07:03:06.983
5159,Y3,1007343,Province 1,1,Barju,100,Biratnagar,2024-08-07 07:03:06.983
5160,Q4,1007264,Province 3,1,BASENI,100,Narayangarh,2024-08-07 07:03:06.983
5161,70,1007070,Province 3,1,BATTAR,100,Battar,2024-08-07 07:03:06.983
5162,37,1007037,Province 3,1,BATTISPUTALI,100,New Baneshwor,2024-08-07 07:03:06.983
5163,95,1007095,Province 7,1,BAUNIYA,100,Dhangadhi,2024-08-07 07:03:06.983
5164,I5,1007185,Province 7,1,BEDKOT,100,Dhangadhi,2024-08-07 07:03:06.983
5165,M3,1007223,Province 1,1,BELBARI,100,Itahari,2024-08-07 07:03:06.983
5166,O0,1007240,Province 5,1,BELBAS,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5167,Y9,1007349,Province 4,1,Beni,100,Baglung,2024-08-07 07:03:06.983
5168,E8,1007148,Province 4,1,BESHISAHAR,100,Damauli,2024-08-07 07:03:06.983
5169,J3,1007193,Province 3,1,BETRAWATI,100,Battar,2024-08-07 07:03:06.983
5170,E2,1007142,Province 2,1,BHAGWANPUR,100,Lahan,2024-08-07 07:03:06.983
5171,61,1007061,Province 5,1,BHAIRAHAWA,100,Bhairahawa,2024-08-07 07:03:06.983
5172,G6,1007166,Province 3,1,BHAISEPATI,100,Thankot,2024-08-07 07:03:06.983
5173,08,1007008,Province 3,1,BHAKTAPUR,100,Bhaktapur,2024-08-07 07:03:06.983
5174,E3,1007143,Province 5,1,BHALWARI,100,Bhairahawa,2024-08-07 07:03:06.983
5175,S9,1007289,Province 3,1,Bhandara,100,Narayangarh,2024-08-07 07:03:06.983
5176,A7,1007107,Province 4,1,BHIMAD,100,Damauli,2024-08-07 07:03:06.983
5177,G7,1007167,Province 3,1,BHIMPHEDI,100,Hetauda,2024-08-07 07:03:06.983
5178,B6,1007116,Province 1,1,BHOJPUR,100,Hile,2024-08-07 07:03:06.983
5179,R9,1007279,Province 3,1,Bhotahiti,100,New Road,2024-08-07 07:03:06.983
5180,96,1007096,Province 5,1,BHUMAHI,100,Sunwal,2024-08-07 07:03:06.983
5181,G1,1007161,Province 5,1,BHURIGAUN,100,Nepalgunj,2024-08-07 07:03:06.983
5182,56,1007056,Province 1,1,BIRATCHOWK,100,Itahari,2024-08-07 07:03:06.983
5183,02,1007002,Province 1,1,BIRATNAGAR,100,Biratnagar,2024-08-07 07:03:06.983
5184,L4,1007214,Province 1,1,BIRATNAGAR MAIN ROAD,100,Biratnagar,2024-08-07 07:03:06.983
5185,75,1007075,Province 4,1,BIRAUTA,100,Pokhara,2024-08-07 07:03:06.983
5186,22,1007022,Province 2,1,BIRGUNJ,100,Birgunj,2024-08-07 07:03:06.983
5187,O6,1007246,Province 1,1,BIRTA BAZAR,100,Birtamode,2024-08-07 07:03:06.983
5188,09,1007009,Province 1,1,BIRTAMODE,100,Birtamode,2024-08-07 07:03:06.983
5189,12,1007012,Province 3,1,Bode,100,Bhaktapur,2024-08-07 07:03:06.983
5190,U7,1007307,Province 3,1,Boharatar,100,Tokha,2024-08-07 07:03:06.983
